,name,style,abv,og,fg,ibu,hops,fermentables,yeasts
0,Chocolate brown ale,Experimental Beer,7.332403206664536,1.0771461877980721,1.0208294707054795,35.51434599067627,"Azacca, Willamette","Pale Ale Malt 2-Row (Briess), Pale Malt, Maris Otter, Oats, Flaked, Pale Chocolate, Roasted Barley (Briess)",SafAle English Ale
1,Dried Apples Are Fine - 2019,American Amber Ale,3.717378321876837,1.037642736534664,1.009410684133666,0.0,,PHO - Bulk Buy Cider,
2,Eat your Wheaties,American Wheat Beer,6.272463503589005,1.0625974456231853,1.0147103997214486,19.255204597613332,Centennial,"Pilsner Malt (Rahr), Wheat Malt, Pale (Weyermann), Vienna Malt, Acidulated (Weyermann)",Safale American
3,I'm getting Too Old For This Shit,American IPA,7.860417933104019,1.0787380205998132,1.018503434840956,52.25496090961149,"Azacca, Nelson Sauvin","Pale Malt, Maris Otter, Pilsner Malt (Rahr), Caramel/Crystal Malt - 10L, Golden Naked Oats, Oats, Flaked",Safale American
